GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
45,0.032,0.2,0.53,123.7,0.306334933219265,3.25272,1,3,3,3,3,3,3,3,3,0,1,0,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502
47,0.0704,0.3,0.69,63.4,0.299596338180295,3.11933,1,3,3,3,3,3,3,3,3,0,1,0,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502,2.42502
50,0.1024,0.36,0.34,140.2,0.493913287585623,2.37451,2,2,2,2,2,2,2,2,2,1,0,0,3.09732,3.09732,3.09732,3.09732,2.99371,2.99371,2.99371,2.99371
52,0.0576,0.27,0.64,153.4,0.414374009001687,3.61056,3,2,2,2,2,2,2,2,2,1,0,0,3.15678,3.15678,3.09732,3.15678,3.09732,2.34258,2.34258,3.09732
55,0.1408,0.42,0.38,125.5,0.493953478809247,2.3874,1,2,2,2,2,2,2,2,2,1,0,0,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375
56,0.0512,0.26,0.43,126.9,0.494235787528125,2.37261,1,2,2,2,2,2,2,2,2,1,0,0,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375,3.14375
58,0.096,0.35,0.37,164.1,0.307660723990976,3.10467,2,3,3,3,3,3,3,3,3,0,1,0,2.42502,2.42502,2.42502,2.99318,2.99318,2.99318,2.99318,2.99318
60,0.128,0.4,0.33,139.4,0.462979405350156,3.61192,2,2,2,2,2,2,2,2,2,1,0,0,3.09246,3.09246,2.88296,3.09246,2.88296,2.88296,2.88296,2.88296
61,0.0448,0.24,0.47,158.2,0.317242430806311,3.22026,3,3,3,3,3,2,3,2,2,0.31391311369509,0.68608688630491,0,2.97828,2.97828,2.97828,2.97828,2.67729,2.45641,2.67729,2.67729
62,0.032,0.2,0.53,123.7,0.465370918672092,3.6277,3,2,2,2,3,2,3,2,2,0.998932099314764,0.00106790068523627,0,3.09246,3.09246,3.09246,2.84004,2.88296,2.84004,2.88296,2.88296
63,0.1472,0.43,0.35,77.5,0.467708097863616,3.61263,2,2,2,2,3,2,3,3,3,0.995739338836687,0.00426066116331266,0,3.09246,3.09246,3.09246,3.18481,3.09246,3.18481,3.18481,3.18481
