GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
286,0.1152,0.38,0.27,126.9,0.351116243332309,3.36707,2,2,2,2,2,2,2,2,2,0.893266814755471,0.106733185244529,0,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072
293,0.0512,0.26,0.6,135,0.492869377760528,2.64987,3,2,2,1,2,1,2,2,1,0.976303317535545,0,0.023696682464455,2.70919,2.70919,2.83681,2.70919,2.83681,2.55085,2.55085,2.83681
295,0.4416,0.75,0.27,137.1,0.357885027422082,3.32249,5,3,2,2,3,2,3,3,2,0.868841970569418,0.131158029430582,0,2.45063,2.36072,2.36072,2.45063,2.36072,2.2631,2.2631,2.36072
300,0.0448,0.24,0.52,135,0.495658368861109,2.68516,2,2,2,2,2,2,2,2,2,1,0,0,2.70919,2.70919,2.70919,2.70919,2.55085,2.70919,2.55085,2.55085
305,0.2752,0.59,0.19,128.2,0.354402149882758,3.23742,3,3,3,2,3,2,3,3,2,0.980305960963601,0.0196940390363988,0,2.4193,2.4193,2.36072,2.39446,2.36072,2.39446,2.39446,2.36072
306,0.864,1.05,0.49,32,0.380601876799143,2.77322,6,2,2,2,3,2,2,2,2,0.973828450081786,0.0261715499182139,0,2.9342,2.44696,2.44696,2.88817,2.34938,2.48483,2.34938,2.34938
311,0.1216,0.39,0.29,130.6,0.353518057280671,3.31922,1,2,2,2,2,2,2,2,2,1,0,0,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072
315,0.0512,0.26,0.56,116.6,0.336737752938659,3.31041,2,2,2,2,2,2,2,2,2,1,0,0,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072
317,0.0448,0.24,0.47,116.6,0.491405198877818,2.63716,2,2,2,2,2,2,2,2,2,1,0,0,2.70919,2.70919,2.70919,2.57578,2.70919,2.57578,2.57578,2.70919
318,0.0704,0.3,0.56,53.1,0.357500325277932,3.29329,2,2,2,3,2,3,2,2,3,0.955850835833691,0.0441491641663095,0,2.36072,2.36072,2.46383,2.36072,2.46383,2.36072,2.36072,2.46383
